id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1221560144414363649,1221557451184594945,2020-01-26 23:26:48 +01,2020-01-26,23:26:48,+0100,107472906,tapairportugal,TAP Air Portugal,,"@BrunoRafaello @RAM_Maroc Hello Bruno, we are very sorry for the time taken on the conclusion of your case. We have reinforced the case to the proper area, so an answer can be provided as promptly as possible. As soon as we receive a feedback, we will get back to you. Thank you.",en,[],[],[],1,0,0,[],[],https://twitter.com/tapairportugal/status/1221560144414363649,False,,0,,,,,,,,"[{'screen_name': 'BrunoRafaello', 'name': 'Bruno Boaventura', 'id': '58842201'}, {'screen_name': 'RAM_Maroc', 'name': 'Royal Air Maroc', 'id': '142749287'}]",,,,
1221538776113197056,1204364684222226433,2020-01-26 22:01:53 +01,2020-01-26,22:01:53,+0100,952592502,jmoncomble,Jocelyn Moncomble,,"Bonjour @RAM_Maroc,  Voilà 128 jours que vous m'avez promis un dédommagement sous 4 à 6 semaines, serait-il possible de voir mon dossier avancer ? Pas la peine de me dire de vous contacter en DM, je l'ai déjà fait à plusieurs reprises ainsi que par courriel",fr,"[{'screen_name': 'ram_maroc', 'name': 'royal air maroc', 'id': '142749287'}]",[],[],1,0,1,[],[],https://twitter.com/JMoncomble/status/1221538776113197056,False,,0,,,,,,,,[],,,,
1221503123501568007,1221503123501568007,2020-01-26 19:40:13 +01,2020-01-26,19:40:13,+0100,249909702,hirchman,Hicham El Moussaoui,,Royal Air Maroc (RAM) n'a jamais porté aussi bien son nom: elle rame..,fr,[],[],[],0,0,3,[],[],https://twitter.com/Hirchman/status/1221503123501568007,False,,0,,,,,,,,[],,,,
1221501502788947971,1220773169713369098,2020-01-26 19:33:47 +01,2020-01-26,19:33:47,+0100,1220748992537153541,taoufikbouali,taoufik bouali,,"@RAM_Maroc Garder mon bagage , c’est fini voyager avec vous à tout jamais , et je ferai touts pour montrer votre vrai visages par tout dans le monde , #RAM c’est la pire compagnie aérienne dans le monde",fr,[],[],[],0,0,1,['ram'],[],https://twitter.com/TaoufikBouali/status/1221501502788947971,False,,0,,,,,,,,"[{'screen_name': 'RAM_Maroc', 'name': 'Royal Air Maroc', 'id': '142749287'}]",,,,
1221491346638352384,1221491346638352384,2020-01-26 18:53:25 +01,2020-01-26,18:53:25,+0100,2641774984,s3_didi,Didi,,"@RAM_Maroc  , service de pire en pire. Vous ne montrez même pas au début du vol comment réagir face à un état d'urgence. Et même en cas d'urgence l'équipement est dégradé. On paie cher pour rien , pire qu'une compagnie low-cost.",fr,[],[],[],0,3,2,[],[],https://twitter.com/s3_didi/status/1221491346638352384,False,,0,,,,,,,,[],,,,
1221357106206404608,1221357106206404608,2020-01-26 10:00:00 +01,2020-01-26,10:00:00,+0100,3238636085,gibraltarbca,Gibraltar BCA,,Today's Flight Schedule #Gibraltar @easyJet @British_Airways @RAM_Maroc   #VisitGibraltar  https://t.co/4FjSPqUXGb,en,"[{'screen_name': 'easyjet', 'name': 'easyjet', 'id': '38676903'}, {'screen_name': 'british_airways', 'name': 'british airways', 'id': '18332190'}, {'screen_name': 'ram_maroc', 'name': 'royal air maroc', 'id': '142749287'}]",[],['https://pbs.twimg.com/media/EOtgWhZX4AE_aDW.jpg'],0,0,3,"['gibraltar', 'visitgibraltar']",[],https://twitter.com/GibraltarBCA/status/1221357106206404608,False,,1,https://pbs.twimg.com/media/EOtgWhZX4AE_aDW.jpg,,,,,,,[],,,,
1221276067589246976,1221276067589246976,2020-01-26 04:37:59 +01,2020-01-26,04:37:59,+0100,191220210,emekong,Em Ekong,,@RAM_Maroc the worst airline the world.,en,[],[],[],0,0,0,[],[],https://twitter.com/EmEkong/status/1221276067589246976,False,,0,,,,,,,,[],,,,
1221229221718241283,1220773169713369098,2020-01-26 01:31:50 +01,2020-01-26,01:31:50,+0100,142749287,ram_maroc,Royal Air Maroc,,"@TaoufikBouali Bonsoir, Pour mieux vous assister, merci de nous envoyer par DM votre numéro de déclaration.",fr,[],[],[],2,0,0,[],[],https://twitter.com/RAM_Maroc/status/1221229221718241283,False,,0,,,,,,,,"[{'screen_name': 'TaoufikBouali', 'name': 'taoufik bouali', 'id': '1220748992537153541'}]",,,,
1221160813202833408,1221160813202833408,2020-01-25 21:00:00 +01,2020-01-25,21:00:00,+0100,916355968635670528,zrhspotters_ch,ZRHSPOTTERS 📸✈️🇨🇭,,✈️CN-RNM | @Boeing #B737-7B6 | MSN : 28984 🏢@RAM_Maroc 🌎@zrh_airport 📸30.05.19 #potn #planespotting #avgeek #aviationslovers #Aviation  @iLove_Aviation @AviationWeek @AirlineReporter @GettyImages @iStock @avgeekretweeter  @AviPlatform @planesonthenet @AviateAddict @BoeingFans  https://t.co/gcmz0odsH3,pt,"[{'screen_name': 'boeing', 'name': 'the boeing company', 'id': '25103967'}, {'screen_name': 'ram_maroc', 'name': 'royal air maroc', 'id': '142749287'}, {'screen_name': 'zrh_airport', 'name': 'zurich airport', 'id': '282510542'}, {'screen_name': 'ilove_aviation', 'name': 'airplane pictures ✈', 'id': '2546037755'}, {'screen_name': 'aviationweek', 'name': 'aviation week', 'id': '18148907'}, {'screen_name': 'airlinereporter', 'name': 'airline reporter', 'id': '40113236'}, {'screen_name': 'gettyimages', 'name': 'getty images', 'id': '40297195'}, {'screen_name': 'istock', 'name': 'istock', 'id': '7449842'}, {'screen_name': 'avgeekretweeter', 'name': 'thomas saunders', 'id': '561764704'}, {'screen_name': 'aviplatform', 'name': 'aviation platform', 'id': '25102833'}, {'screen_name': 'planesonthenet', 'name': '\u200b\u200b𝗉𝗅𝖺𝗇𝖾𝗌 ✈ 𝗈𝗇 𝗍𝗁𝖾 𝗇𝖾𝗍', 'id': '1063832520993722372'}, {'screen_name': 'aviateaddict', 'name': 'aviationaddiction', 'id': '997851948'}, {'screen_name': 'boeingfans', 'name': 'boeing fans', 'id': '2751110217'}]",[],['https://pbs.twimg.com/media/EMo2ccqWsAID39K.jpg'],0,4,15,"['b737', 'potn', 'planespotting', 'avgeek', 'aviationslovers', 'aviation']",[],https://twitter.com/zrhspotters_ch/status/1221160813202833408,False,,1,https://pbs.twimg.com/media/EMo2ccqWsAID39K.jpg,,,,,,,[],,,,
1221150672239898626,1221133269711847425,2020-01-25 20:19:42 +01,2020-01-25,20:19:42,+0100,619927229,anachawki,Ahmed Ammar أحمد عمار,,@K_Amale @kharbouchaland @3imad00 La @RAM_Maroc  rembourse sans problème,fr,"[{'screen_name': 'ram_maroc', 'name': 'royal air maroc', 'id': '142749287'}]",[],[],0,0,1,[],[],https://twitter.com/AnaChawki/status/1221150672239898626,False,,0,,,,,,,,[],,,,
